FilialData	Forma de Pagamento	Total	Qtde. clientes	Ticket médio	
"AHU"	"22/06/2026"	"CARTAO CREDITO TEF"	"130"	"4"	"32,5"
"AHU"	"22/06/2026"	"CARTAO DEBITO TEF"	"114"	"5"	"22,8"
"ALTO DA XV"	"22/06/2026"	"PIX"	"38"	"1"	"38"
"ALTO DA XV"	"22/06/2026"	"TEF - CARTAO DE CREDITO"	"54"	"3"	"18"
"ALTO DA XV"	"22/06/2026"	"TEF - CARTAO DE DEBITO"	"44,8"	"2"	"22,4"
"AHU"	"23/06/2026"	"CARTAO CREDITO TEF"	"73"	"3"	"24,33"
"AHU"	"23/06/2026"	"CARTAO DEBITO TEF"	"44,9"	"1"	"44,9"
"AHU"	"23/06/2026"	"PIX MANUAL"	"16"	"1"	"16"
"ALTO DA XV"	"23/06/2026"	"PIX"	"32"	"1"	"32"
"ALTO DA XV"	"23/06/2026"	"TEF - CARTAO DE CREDITO"	"19"	"1"	"19"
"AHU"	"24/06/2026"	"CARTAO CREDITO TEF"	"154,8"	"4"	"38,7"
"AHU"	"24/06/2026"	"CARTAO DEBITO TEF"	"23,8"	"2"	"11,9"
"AHU"	"24/06/2026"	"DINHEIRO"	"6"	"1"	"6"
"AHU"	"24/06/2026"	"PIX MANUAL"	"28,9"	"1"	"28,9"
"ALTO DA XV"	"24/06/2026"	"DINHEIRO"	"6,9"	"1"	"6,9"
"ALTO DA XV"	"24/06/2026"	"PIX"	"115,74"	"5"	"23,15"
"ALTO DA XV"	"24/06/2026"	"TEF - CARTAO DE CREDITO"	"52,9"	"2"	"26,45"
"ALTO DA XV"	"24/06/2026"	"TEF - CARTAO DE DEBITO"	"95,7"	"4"	"23,93"
"AHU"	"25/06/2026"	"CARTAO CREDITO TEF"	"19"	"1"	"19"
"AHU"	"25/06/2026"	"CARTAO DEBITO TEF"	"61,6"	"2"	"30,8"
"AHU"	"25/06/2026"	"PIX MANUAL"	"61,8"	"1"	"61,8"
"AHU"	"25/06/2026"	"PRAZO"	"42,29"	"1"	"42,29"
"ALTO DA XV"	"25/06/2026"	"DINHEIRO"	"6"	"0,5"	"12"
"ALTO DA XV"	"25/06/2026"	"PIX"	"78,24"	"2,5"	"31,3"
"ALTO DA XV"	"25/06/2026"	"TEF - CARTAO DE CREDITO"	"169,4"	"5"	"33,88"
"ALTO DA XV"	"25/06/2026"	"TEF - CARTAO DE DEBITO"	"86,7"	"4"	"21,68"
"AHU"	"26/06/2026"	"CARTAO CREDITO TEF"	"261,2"	"12"	"21,77"
"AHU"	"26/06/2026"	"CARTAO DEBITO TEF"	"121"	"5"	"24,2"
"AHU"	"26/06/2026"	"DINHEIRO"	"19"	"1"	"19"
"AHU"	"26/06/2026"	"PIX MANUAL"	"70"	"2"	"35"
"ALTO DA XV"	"26/06/2026"	"PIX"	"51,8"	"3"	"17,27"
"ALTO DA XV"	"26/06/2026"	"TEF - CARTAO DE CREDITO"	"112,8"	"4"	"28,2"
"ALTO DA XV"	"26/06/2026"	"TEF - CARTAO DE DEBITO"	"209"	"9"	"23,22"
"AHU"	"27/06/2026"	"CARTAO CREDITO TEF"	"378,7"	"14"	"27,05"
"AHU"	"27/06/2026"	"CARTAO DEBITO TEF"	"221,9"	"10"	"22,19"
"AHU"	"27/06/2026"	"PIX MANUAL"	"38"	"2"	"19"
"ALTO DA XV"	"27/06/2026"	"DINHEIRO"	"115"	"2,5"	"46"
"ALTO DA XV"	"27/06/2026"	"PIX"	"53,9"	"2"	"26,95"
"ALTO DA XV"	"27/06/2026"	"TEF - CARTAO DE CREDITO"	"217,5"	"7"	"31,07"
"ALTO DA XV"	"27/06/2026"	"TEF - CARTAO DE DEBITO"	"104,9"	"3,5"	"29,97"
"AHU"	"28/06/2026"	"CARTAO CREDITO TEF"	"1864,1"	"48"	"38,84"
"AHU"	"28/06/2026"	"CARTAO DEBITO TEF"	"883,5"	"31"	"28,5"
"AHU"	"28/06/2026"	"DINHEIRO"	"168,8"	"4"	"42,2"
"AHU"	"28/06/2026"	"PIX MANUAL"	"200,7"	"4"	"50,18"
"ALTO DA XV"	"28/06/2026"	"PIX"	"99"	"4"	"24,75"
"ALTO DA XV"	"28/06/2026"	"TEF - CARTAO DE CREDITO"	"743"	"16"	"46,44"
"ALTO DA XV"	"28/06/2026"	"TEF - CARTAO DE DEBITO"	"300,8"	"9"	"33,42"
"AHU"	"29/06/2026"	"CARTAO CREDITO TEF"	"108,8"	"7"	"15,54"
"AHU"	"29/06/2026"	"CARTAO DEBITO TEF"	"20"	"1"	"20"
"AHU"	"29/06/2026"	"PIX MANUAL"	"55"	"2"	"27,5"
"ALTO DA XV"	"29/06/2026"	"TEF - CARTAO DE CREDITO"	"61,9"	"3"	"20,63"
"ALTO DA XV"	"29/06/2026"	"TEF - CARTAO DE DEBITO"	"36,54"	"2"	"18,27"
"AHU"	"30/06/2026"	"CARTAO CREDITO TEF"	"261,7"	"14"	"18,69"
"AHU"	"30/06/2026"	"CARTAO DEBITO TEF"	"293"	"12"	"24,42"
"AHU"	"30/06/2026"	"DINHEIRO"	"57"	"2"	"28,5"
"AHU"	"30/06/2026"	"PIX MANUAL"	"166,8"	"7"	"23,83"
"ALTO DA XV"	"30/06/2026"	"DINHEIRO"	"38"	"1"	"38"
"ALTO DA XV"	"30/06/2026"	"PIX"	"144,6"	"6"	"24,1"
"ALTO DA XV"	"30/06/2026"	"TEF - CARTAO DE CREDITO"	"196,9"	"8"	"24,61"
"ALTO DA XV"	"30/06/2026"	"TEF - CARTAO DE DEBITO"	"154,8"	"8"	"19,35"
"AHU"	"01/07/2026"	"CARTAO CREDITO TEF"	"641,9"	"20"	"32,1"
"AHU"	"01/07/2026"	"CARTAO DEBITO TEF"	"435,3"	"14,5"	"30,02"
"AHU"	"01/07/2026"	"DINHEIRO"	"113,9"	"4,5"	"25,31"
"AHU"	"01/07/2026"	"PIX MANUAL"	"182"	"7"	"26"
"ALTO DA XV"	"01/07/2026"	"DINHEIRO"	"16"	"1"	"16"
"ALTO DA XV"	"01/07/2026"	"PIX"	"60,9"	"3"	"20,3"
"ALTO DA XV"	"01/07/2026"	"TEF - CARTAO DE CREDITO"	"243"	"10"	"24,3"
"ALTO DA XV"	"01/07/2026"	"TEF - CARTAO DE DEBITO"	"245"	"10"	"24,5"